topology,layout,permutation,input_port,output_port,route_status,failure_reason,physical_wiring_um,bend_count,crossing_count,physical_il_db,topology_il_db,il_delta_db,topology_wiring_um,wiring_delta_um,mrr_loss_db,sxr_db,n_logical,layer,perm_idx,seed
waksman_5x5,default,3-1-2-0-4,4,4,routed,,918.123890,6,4,2.489012,1.364764,1.124248,571.000000,347.123890,0.222764,24.309551,5,physical,2,42
spanke_benes_5x5,default,3-1-2-4-0,0,3,routed,,1470.225651,19,7,6.298411,4.316960,1.981451,877.000000,593.225651,2.562960,3.982697,5,physical,0,42
spanke_benes_5x5,default,3-1-2-4-0,1,1,routed,,991.831853,8,6,4.480813,3.323149,1.157664,733.000000,258.831853,1.857149,7.354263,5,physical,0,42
spanke_benes_5x5,default,3-1-2-4-0,2,2,routed,,1562.079633,20,8,6.104073,3.865913,2.238159,893.000000,669.079633,2.079913,6.806477,5,physical,0,42
spanke_benes_5x5,default,3-1-2-4-0,3,4,routed,,1147.539816,10,3,3.573654,2.546575,1.027080,809.000000,338.539816,0.928575,10.279425,5,physical,0,42
spanke_benes_5x5,default,3-1-2-4-0,4,0,routed,,1312.225651,19,4,5.942694,4.521243,1.421451,849.000000,463.225651,2.823243,3.578313,5,physical,0,42
spanke_benes_5x5,default,3-2-0-4-1,0,3,routed,,1470.225651,19,7,6.298411,4.316960,1.981451,877.000000,593.225651,2.562960,3.990191,5,physical,1,42
spanke_benes_5x5,default,3-2-0-4-1,1,2,routed,,1406.371669,18,7,6.165703,4.260960,1.904743,849.000000,557.371669,2.562960,4.505371,5,physical,1,42
spanke_benes_5x5,default,3-2-0-4-1,2,0,routed,,1051.247780,12,6,4.619645,3.379149,1.240496,761.000000,290.247780,1.857149,7.131760,5,physical,1,42
spanke_benes_5x5,default,3-2-0-4-1,3,4,routed,,1147.539816,10,3,3.573654,2.546575,1.027080,809.000000,338.539816,0.928575,10.279425,5,physical,1,42
spanke_benes_5x5,default,3-2-0-4-1,4,1,routed,,1432.225651,19,5,5.799647,4.070196,1.729451,865.000000,567.225651,2.340196,5.331719,5,physical,1,42
spanke_benes_5x5,default,3-1-2-0-4,0,3,routed,,1501.933614,21,9,6.571827,4.316960,2.254867,877.000000,624.933614,2.562960,3.778067,5,physical,2,42
spanke_benes_5x5,default,3-1-2-0-4,1,1,routed,,1266.955743,14,8,5.483825,3.689913,1.793911,805.000000,461.955743,2.079913,6.649912,5,physical,2,42
