edge_id,waveguide_owner_edge_id,kind,source_endpoint,source_wire,source_blocked,target_endpoint,target_wire,target_blocked,source_stage,target_stage
stage:2:w14:padded_benes_16x16_s2_w10_14.drop->padded_benes_16x16_s3_w6_14.add:w14,input:w14->padded_benes_16x16_s0_w14_15.in,interstage,padded_benes_16x16_s2_w10_14.drop,14,False,padded_benes_16x16_s3_w6_14.add,14,False,2,3
stage:2:w15:padded_benes_16x16_s2_w11_15.drop->padded_benes_16x16_s3_w7_15.add:w15,input:w15->padded_benes_16x16_s0_w14_15.add,interstage,padded_benes_16x16_s2_w11_15.drop,15,False,padded_benes_16x16_s3_w7_15.add,15,False,2,3
stage:3:w0:padded_benes_16x16_s3_w0_8.th->padded_benes_16x16_s4_w0_4.in:w0,input:w0->padded_benes_16x16_s0_w0_1.in,interstage,padded_benes_16x16_s3_w0_8.th,0,False,padded_benes_16x16_s4_w0_4.in,0,False,3,4
stage:3:w1:padded_benes_16x16_s3_w1_9.th->padded_benes_16x16_s4_w1_5.in:w1,input:w1->padded_benes_16x16_s0_w0_1.add,interstage,padded_benes_16x16_s3_w1_9.th,1,False,padded_benes_16x16_s4_w1_5.in,1,False,3,4
stage:3:w2:padded_benes_16x16_s3_w2_10.th->padded_benes_16x16_s4_w2_6.in:w2,input:w2->padded_benes_16x16_s0_w2_3.in,interstage,padded_benes_16x16_s3_w2_10.th,2,False,padded_benes_16x16_s4_w2_6.in,2,False,3,4
stage:3:w3:padded_benes_16x16_s3_w3_11.th->padded_benes_16x16_s4_w3_7.in:w3,input:w3->padded_benes_16x16_s0_w2_3.add,interstage,padded_benes_16x16_s3_w3_11.th,3,False,padded_benes_16x16_s4_w3_7.in,3,False,3,4
stage:3:w4:padded_benes_16x16_s3_w4_12.th->padded_benes_16x16_s4_w0_4.add:w4,input:w4->padded_benes_16x16_s0_w4_5.in,interstage,padded_benes_16x16_s3_w4_12.th,4,False,padded_benes_16x16_s4_w0_4.add,4,False,3,4
stage:3:w5:padded_benes_16x16_s3_w5_13.th->padded_benes_16x16_s4_w1_5.add:w5,input:w5->padded_benes_16x16_s0_w4_5.add,interstage,padded_benes_16x16_s3_w5_13.th,5,False,padded_benes_16x16_s4_w1_5.add,5,False,3,4
stage:3:w6:padded_benes_16x16_s3_w6_14.th->padded_benes_16x16_s4_w2_6.add:w6,input:w6->padded_benes_16x16_s0_w6_7.in,interstage,padded_benes_16x16_s3_w6_14.th,6,False,padded_benes_16x16_s4_w2_6.add,6,False,3,4
stage:3:w7:padded_benes_16x16_s3_w7_15.th->padded_benes_16x16_s4_w3_7.add:w7,input:w7->padded_benes_16x16_s0_w6_7.add,interstage,padded_benes_16x16_s3_w7_15.th,7,False,padded_benes_16x16_s4_w3_7.add,7,False,3,4
