edge_id,kind,source,target,source_blocked,target_blocked
stage:4:w11:padded_benes_16x16_s4_w11_15.th->padded_benes_16x16_s5_w9_11.add:w11,interstage,padded_benes_16x16_s4_w11_15.th,padded_benes_16x16_s5_w9_11.add,False,False
stage:4:w12:padded_benes_16x16_s4_w8_12.drop->padded_benes_16x16_s5_w12_14.in:w12,interstage,padded_benes_16x16_s4_w8_12.drop,padded_benes_16x16_s5_w12_14.in,False,False
stage:4:w13:padded_benes_16x16_s4_w9_13.drop->padded_benes_16x16_s5_w13_15.in:w13,interstage,padded_benes_16x16_s4_w9_13.drop,padded_benes_16x16_s5_w13_15.in,False,False
stage:4:w14:padded_benes_16x16_s4_w10_14.drop->padded_benes_16x16_s5_w12_14.add:w14,interstage,padded_benes_16x16_s4_w10_14.drop,padded_benes_16x16_s5_w12_14.add,False,False
stage:4:w15:padded_benes_16x16_s4_w11_15.drop->padded_benes_16x16_s5_w13_15.add:w15,interstage,padded_benes_16x16_s4_w11_15.drop,padded_benes_16x16_s5_w13_15.add,False,False
stage:5:w0:padded_benes_16x16_s5_w0_2.th->padded_benes_16x16_s6_w0_1.in:w0,interstage,padded_benes_16x16_s5_w0_2.th,padded_benes_16x16_s6_w0_1.in,False,False
stage:5:w1:padded_benes_16x16_s5_w1_3.th->padded_benes_16x16_s6_w0_1.add:w1,interstage,padded_benes_16x16_s5_w1_3.th,padded_benes_16x16_s6_w0_1.add,False,False
stage:5:w2:padded_benes_16x16_s5_w0_2.drop->padded_benes_16x16_s6_w2_3.in:w2,interstage,padded_benes_16x16_s5_w0_2.drop,padded_benes_16x16_s6_w2_3.in,False,False
stage:5:w3:padded_benes_16x16_s5_w1_3.drop->padded_benes_16x16_s6_w2_3.add:w3,interstage,padded_benes_16x16_s5_w1_3.drop,padded_benes_16x16_s6_w2_3.add,False,False
stage:5:w4:padded_benes_16x16_s5_w4_6.th->padded_benes_16x16_s6_w4_5.in:w4,interstage,padded_benes_16x16_s5_w4_6.th,padded_benes_16x16_s6_w4_5.in,False,False
stage:5:w5:padded_benes_16x16_s5_w5_7.th->padded_benes_16x16_s6_w4_5.add:w5,interstage,padded_benes_16x16_s5_w5_7.th,padded_benes_16x16_s6_w4_5.add,False,False
stage:5:w6:padded_benes_16x16_s5_w4_6.drop->padded_benes_16x16_s6_w6_7.in:w6,interstage,padded_benes_16x16_s5_w4_6.drop,padded_benes_16x16_s6_w6_7.in,False,False
stage:5:w7:padded_benes_16x16_s5_w5_7.drop->padded_benes_16x16_s6_w6_7.add:w7,interstage,padded_benes_16x16_s5_w5_7.drop,padded_benes_16x16_s6_w6_7.add,False,False
stage:5:w8:padded_benes_16x16_s5_w8_10.th->padded_benes_16x16_s6_w8_9.in:w8,interstage,padded_benes_16x16_s5_w8_10.th,padded_benes_16x16_s6_w8_9.in,False,False
