topology,layout,paths,worst_il_db,avg_il_db,il_std_db,il_iqr_db,il_p50_db,il_p90_db,il_p95_db,il_p99_db,worst_sxr_db,avg_sxr_db,sxr_p01_db,sxr_p05_db,sxr_violation_count,n_logical,n_physical,layer,seed,eval_mode,train_perms,eval_perms,n_mrr,n_stages,avg_crossing_count,crossing_loss_db_per_cross
spanke_benes_rect_11x11,default,3300,3.435292457923882,3.215282499821973,0.22247973955356792,0.18466471522739614,3.3066277426964854,3.383959514878403,3.3966265718329236,3.4352924579238815,8.231685954088485,12.672874270712672,8.722365904526294,9.224145938522206,3230,11,11,logical,43,sample,0,300,55,11,0.0,0.1
padded_benes_16x16,default,3600,6.558095626265583,5.3863795352735035,0.5730648984115828,0.6031679351021939,5.470762683220104,6.038362449047392,6.174095626265583,6.363429740174625,7.451144910584855,10.921783868012911,8.152968880258236,8.809145959400807,3591,12,16,logical,43,sample,0,300,56,7,68.24,0.1
waksman_12x12,default,3600,5.7987626832201045,4.162916049151589,0.5873040177979667,0.685034905994466,4.120530945567339,4.922762683220104,5.206762683220104,5.591429740174625,7.691653718032537,13.508102173990286,8.652214954839323,9.670270058103359,3518,12,12,logical,43,sample,0,300,33,7,52.00333333333333,0.1
spanke_benes_12x12,default,3600,6.230291562251002,5.406456804054199,0.38381984990202256,0.5454297401746269,5.469659136100264,5.863459067041963,5.964724539825632,6.099024918603769,2.5498992845357407,10.956279156698407,3.6355660845184152,4.902418500464552,3548,12,12,logical,43,sample,0,300,66,21,0.0,0.1
spanke_benes_rect_12x12,default,3600,3.749591665838456,3.516456804054196,0.24184942016881733,0.19896509400553297,3.619958344014839,3.6982587227929775,3.710925779747498,3.749591665838455,7.617809941523114,11.743622095277626,8.03132347824754,8.834621344995655,3548,12,12,logical,43,sample,0,300,66,12,0.0,0.1
padded_benes_16x16,default,3900,6.655429740174625,5.479351180377776,0.6034125074836344,0.7314997072841098,5.586762683220105,6.148096797129146,6.306762683220105,6.468096797129148,6.83267901068686,10.918390247070692,8.040580322876584,8.651742113687867,3880,13,16,logical,43,sample,0,300,56,7,80.33666666666667,0.1
waksman_13x13,default,3900,7.306762683220105,4.708857837435147,0.6814418688947316,0.7994015841708517,4.616163096527393,5.58979641835101,5.8554297401746265,6.9100956262655835,6.396398684192112,12.80666007531948,7.78770578027427,9.029423063056004,3811,13,13,logical,43,sample,0,300,37,7,79.25666666666666,0.1
spanke_benes_13x13,default,3900,6.820224091989193,5.920245184023534,0.4158165817638083,0.5871293613964879,5.98225989365654,6.426424161047496,6.492620815053471,6.688957448341959,1.5847188134092918,10.123901701612592,2.5969770239973418,3.8002413450889145,3860,13,13,logical,43,sample,0,300,78,23,0.0,0.1
spanke_benes_rect_13x13,default,3900,4.0638908737530315,3.8202451840235456,0.2523372569378233,0.186298037051011,3.9225591015711134,4.01255793070755,4.025224987662072,4.06389087375303,6.954818216019854,11.017182121963979,7.680328559853987,8.155101297611601,3860,13,13,logical,43,sample,0,300,78,13,0.0,0.1
padded_benes_16x16,default,4200,6.7194297401746255,5.5860643589869365,0.6198550723514015,0.7873352847726034,5.674095626265583,6.2994297401746255,6.422762683220105,6.582095626265584,6.614091173059521,10.622190323683261,7.67084648318448,8.454834474252678,4191,14,16,logical,43,sample,0,300,56,7,93.80666666666667,0.1
waksman_14x14,default,4200,7.158095626265584,4.935890529682095,0.7535117851692212,0.9193329430454806,4.923278965353776,5.806762683220105,6.402762683220104,6.876096797129147,6.27326874098928,12.342754649003435,7.562979194723279,8.653450372329775,4117,14,14,logical,43,sample,0,300,41,7,90.69333333333333,0.1
spanke_benes_14x14,default,4200,7.410156621727383,6.435608760149072,0.4476742740664991,0.6466952129582957,6.502556759843989,6.977690804694728,7.081990012609301,7.26622292112563,0.6533494067176591,9.387214284823022,1.7887046885040476,2.8684758218338873,4157,14,14,logical,43,sample,0,300,91,25,0.0,0.1
spanke_benes_rect_14x14,default,4200,4.378190081667606,4.125608760149076,0.26708111257143863,0.19896509400553164,4.236858309485688,4.314190081667606,4.339524195576646,4.378190081667604,6.395932567450067,10.433362306343959,7.070593481653869,7.521688730049225,4157,14,14,logical,43,sample,0,300,91,14,0.0,0.1
padded_benes_16x16,default,4500,6.9194297401746265,5.694348534892383,0.637970728627975,0.805832650329589,5.802095626265584,6.4100956262655835,6.540096797129147,6.706762683220105,6.441427197570958,10.340230863607134,7.3748142186186545,8.121536063720939,4481,15,16,logical,43,sample,0,300,56,7,108.62666666666667,0.1
waksman_15x15,default,4500,7.158095626265585,5.218150871288941,0.7867925545301065,1.1366670569545203,5.137796418351009,6.345796418351009,6.622762683220104,6.8554297401746265,6.379993382800172,11.7835199157561,7.435775883492186,8.281945459735216,4442,15,15,logical,43,sample,0,300,45,7,106.05333333333333,0.1
spanke_benes_15x15,default,4500,8.000089151465573,6.94962039778361,0.4830729205607309,0.6797301189527643,7.026855967758563,7.54065589870026,7.668888807216589,7.803189185994726,-0.24955304263396055,8.607520641264156,1.0606555614663313,2.105718377499549,4456,15,15,logical,43,sample,0,300,105,27,0.0,0.1
spanke_benes_rect_15x15,default,4500,4.69248928958218,4.4296203977835225,0.2787315669386124,0.166665886090958,4.525158688263826,4.615157517400263,4.6411563465367,4.679822232627659,5.771565045630052,9.836346362751533,6.463850248983862,7.13562857268741,4456,15,15,logical,43,sample,0,300,105,15,0.0,0.1
padded_benes_16x16,default,4800,7.119429740174626,5.777457475531515,0.6711810257985504,0.8466658860909586,5.889428569311063,6.527429740174625,6.635429740174626,6.868096797129146,6.441293296465792,9.904395114062954,7.093797861420843,7.794585248982084,4795,16,16,logical,43,sample,0,300,56,7,122.41333333333333,0.1
waksman_16x16,default,4800,7.258095626265583,5.276868118217008,0.8114143228157238,1.2233329430454791,5.240096797129146,6.354095626265583,6.486762683220105,6.722095626265583,6.603667403905544,11.61416204033671,7.461789934618507,8.222709814451033,4725,16,16,logical,43,sample,0,300,49,7,107.96666666666667,0.1
spanke_benes_16x16,default,4800,8.590021681203766,7.46229192360607,0.5211022968501172,0.7453634407763801,7.5281900816676055,8.091922542347492,8.196221750262069,8.393121715732915,-1.1294605271309246,7.75271304641205,0.12225927630255704,1.1731683000947921,4769,16,16,logical,43,sample,0,300,120,29,0.0,0.1
spanke_benes_rect_16x16,default,4800,5.006788497496754,4.732291923606122,0.29225743655416275,0.17393487146531506,4.839457896178399,4.929456725314837,4.955455554451275,4.994121440542234,5.221712908866661,9.151895827421027,5.86973885815922,6.523509072247498,4769,16,16,logical,43,sample,0,300,120,16,0.0,0.1
