candidate_id,A,B,C,D,E,F,proxy_global_opt_assignment_db,is_dp,is_random,is_greedy,is_baseline
e_b903b53e3fbb,28.285999999999998,4.416,2176.0,15.078,7.077845238095238,5.10232906350823,5.10232906350823,True,False,False,False
e_d425b9eb0953,28.330000000000002,4.46,2176.0,15.034,7.117392857142857,5.1463290635082295,5.1463290635082295,True,False,False,False
e_ba10938d833d,28.374000000000002,4.416,2176.0,15.144000000000002,7.088190476190476,5.10232906350823,5.10232906350823,False,False,False,False
e_396079cb267e,28.418000000000003,4.46,2176.0,15.1,7.1277380952380955,5.1463290635082295,5.1463290635082295,False,False,False,False
e_62e92eb00212,28.201999999999998,4.3759999999999994,2176.0,14.654,6.982845238095237,5.082329063508229,5.082329063508229,True,False,False,False
e_019f8035c73e,28.246,4.3759999999999994,2176.0,14.610000000000001,6.978392857142857,5.12632906350823,5.12632906350823,True,False,False,False
e_6be5d75b1048,28.246,4.42,2176.0,14.632000000000001,7.025142857142857,5.082329063508229,5.082329063508229,True,False,False,False
e_67059c474caf,28.29,4.42,2176.0,14.588,7.0206904761904765,5.12632906350823,5.12632906350823,True,False,False,False
e_a5a67db94ca5,25.682000000000002,3.6920000000000006,2176.0,14.566,6.227845238095239,4.907826802670983,4.907826802670983,True,False,False,False
e_b720a44fe62f,25.770000000000003,3.736,2176.0,14.654,6.284940476190476,4.907826802670983,4.907826802670983,True,False,False,False
e_1d4ef7f46fa3,25.770000000000003,3.6920000000000006,2176.0,14.632,6.238190476190477,4.907826802670983,4.907826802670983,False,False,False,False
e_c866a57c7a30,25.858,3.736,2176.0,14.72,6.295285714285714,4.907826802670983,4.907826802670983,False,False,False,False
e_b69fb9366cde,25.810000000000002,3.566,2176.0,15.078000000000001,6.168892857142858,4.907826802670983,4.907826802670983,True,False,False,False
e_aef47edc76a7,25.898,3.566,2176.0,15.166,6.181988095238095,4.907826802670983,4.907826802670983,True,False,False,False
e_ce616a1bc10f,25.854000000000003,3.566,2176.0,15.056,6.167190476190476,4.907826802670983,4.907826802670983,True,False,False,False
e_081e3293bd42,25.941999999999997,3.566,2176.0,15.144000000000002,6.180285714285715,4.907826802670983,4.907826802670983,True,False,False,False
e_875a84580a11,28.285999999999998,4.416,2176.0,15.100000000000001,7.080595238095238,5.10232906350823,5.10232906350823,True,False,False,False
e_7372bcc29be9,28.33,4.46,2176.0,15.056,7.120142857142857,5.1463290635082295,5.1463290635082295,True,False,False,False
e_41d0d5222730,28.374000000000002,4.416,2176.0,15.166,7.090940476190477,5.10232906350823,5.10232906350823,False,False,False,False
e_b98007b6c443,28.418000000000003,4.46,2176.0,15.122000000000002,7.130488095238095,5.1463290635082295,5.1463290635082295,False,False,False,False
e_7067a30e94a5,28.201999999999998,4.3759999999999994,2176.0,14.676000000000002,6.985595238095238,5.082329063508229,5.082329063508229,True,False,False,False
e_f345d4de5f4b,28.246,4.3759999999999994,2176.0,14.632,6.981142857142856,5.12632906350823,5.12632906350823,True,False,False,False
e_ea2aee2a7321,28.246000000000002,4.42,2176.0,14.654,7.027892857142858,5.082329063508229,5.082329063508229,True,False,False,False
e_f19b7e094896,28.29,4.42,2176.0,14.610000000000001,7.023440476190476,5.12632906350823,5.12632906350823,True,False,False,False
