permutation,num_realizations,bfs_state_id,bfs_state_bits,bfs_cross_count,bfs_wil_db,bfs_total_il_db,bfs_worst_input,bfs_worst_output,bfs_worst_path_id,opt_state_id,opt_state_bits,opt_cross_count,opt_wil_db,opt_total_il_db,opt_worst_input,opt_worst_output,opt_worst_path_id,delta_wil_db,relative_improvement_percent,num_optimal_states,num_exact_optimal_states,assignment_wil_range_db
"[3, 2, 7, 1, 6, 0, 4, 5]",8,63650,01000101000111110,8,4.543154214958167,30.99316218041669,5,0,120,63650,01000101000111110,8,4.543154214958167,30.99316218041669,5,0,120,0.0,0.0,8,8,0.0
"[3, 2, 7, 1, 6, 0, 5, 4]",8,129186,01000101000111111,9,4.543154214958167,31.138659919579446,5,0,120,129186,01000101000111111,9,4.543154214958167,31.138659919579446,5,0,120,0.0,0.0,8,8,0.0
"[3, 2, 7, 1, 6, 4, 0, 5]",4,129066,01010100000111111,9,4.455529235180639,31.138659919579446,3,1,80,124986,01011100000101111,9,4.31344625169022,31.138659919579446,6,0,147,0.14208298349041915,3.1889137292274716,2,2,0.14208298349041915
"[3, 2, 7, 1, 6, 4, 5, 0]",4,129058,01000100000111111,8,4.455529235180639,30.993162180416693,3,1,80,124978,01001100000101111,8,4.416405345376791,30.993162180416693,7,0,158,0.03912388980384751,0.8780974770612481,2,2,0.03912388980384751
"[3, 2, 7, 1, 6, 5, 0, 4]",4,63530,01010100000111110,8,4.455529235180639,30.993162180416693,3,1,80,59450,01011100000101110,8,4.31344625169022,30.993162180416693,6,0,147,0.14208298349041915,3.1889137292274716,2,2,0.14208298349041915
"[3, 2, 7, 1, 6, 5, 4, 0]",4,63522,01000100000111110,7,4.455529235180639,30.84766444125394,3,1,80,59442,01001100000101110,7,4.416405345376791,30.84766444125394,7,0,158,0.03912388980384751,0.8780974770612481,2,2,0.03912388980384751
"[3, 2, 7, 4, 0, 1, 5, 6]",4,43418,01011001100101010,8,4.78811330864474,30.993162180416693,5,1,119,59806,01111001100101110,10,4.440195121271597,31.284157658742203,4,0,109,0.34791818737314273,7.2662897668898285,2,2,0.34791818737314273
"[3, 2, 7, 4, 0, 1, 6, 5]",4,43410,01001001100101010,7,4.78811330864474,30.847664441253936,5,1,119,59798,01101001100101110,9,4.440195121271597,31.138659919579446,4,0,109,0.34791818737314273,7.2662897668898285,2,2,0.34791818737314273
"[3, 2, 7, 4, 0, 5, 1, 6]",2,43290,01011000100101010,7,4.55840534537679,30.847664441253936,6,1,146,43290,01011000100101010,7,4.55840534537679,30.847664441253936,6,1,146,0.0,0.0,2,2,0.0
"[3, 2, 7, 4, 0, 5, 6, 1]",2,43282,01001000100101010,6,4.661364439063363,30.702166702091183,7,1,157,43282,01001000100101010,6,4.661364439063363,30.702166702091183,7,1,157,0.0,0.0,2,2,0.0
"[3, 2, 7, 4, 0, 6, 1, 5]",2,59830,01101101100101110,10,4.440195121271597,31.284157658742203,4,0,109,59830,01101101100101110,10,4.440195121271597,31.284157658742203,4,0,109,0.0,0.0,2,2,0.0
"[3, 2, 7, 4, 0, 6, 5, 1]",2,59838,01111101100101110,11,4.440195121271597,31.429655397904956,4,0,109,59838,01111101100101110,11,4.440195121271597,31.429655397904956,4,0,109,0.0,0.0,2,2,0.0
"[3, 2, 7, 4, 1, 0, 5, 6]",4,59802,01011001100101110,9,4.543154214958167,31.138659919579446,5,0,120,59802,01011001100101110,9,4.543154214958167,31.138659919579446,5,0,120,0.0,0.0,2,2,0.14200000000000035
